filename,age,gender,dominant_gender,error
id122_3192.jpg,33.0,"{'Woman': 60.87438464164734, 'Man': 39.12562131881714}",Woman,
id124_3283.jpg,,,,'tuple' object has no attribute 'shape'
id25_444.jpg,27.0,"{'Woman': 5.266294628381729, 'Man': 94.73370313644409}",Man,
id41_1016.jpg,29.0,"{'Woman': 20.04893869161606, 'Man': 79.9510657787323}",Man,
id18_377.jpg,28.0,"{'Woman': 2.9578791931271553, 'Man': 97.04211950302124}",Man,
id60_1603.jpg,30.0,"{'Woman': 2.604346349835396, 'Man': 97.39565849304199}",Man,
id123_3264.jpg,33.0,"{'Woman': 4.30200882256031, 'Man': 95.69798707962036}",Man,
id18_670.jpg,29.0,"{'Woman': 15.448600053787231, 'Man': 84.55139994621277}",Man,
id41_1293.jpg,31.0,"{'Woman': 5.189044401049614, 'Man': 94.81095671653748}",Man,
id78_2059.jpg,24.0,"{'Woman': 5.2125535905361176, 'Man': 94.78744268417358}",Man,
id78_2115.jpg,29.0,"{'Woman': 4.726032912731171, 'Man': 95.27396559715271}",Man,
id45_1056.jpg,31.0,"{'Woman': 6.737729161977768, 'Man': 93.26226711273193}",Man,
id49_1243.jpg,29.0,"{'Woman': 2.7960140258073807, 'Man': 97.20398783683777}",Man,
id41_1085.jpg,,,,'tuple' object has no attribute 'shape'
id54_1561.jpg,,,,'tuple' object has no attribute 'shape'
id3_55.jpg,26.0,"{'Woman': 0.8427764289081097, 'Man': 99.15722608566284}",Man,
id42_1020.jpg,33.0,"{'Woman': 12.839753925800323, 'Man': 87.1602475643158}",Man,
id116_3164.jpg,33.0,"{'Woman': 14.077343046665192, 'Man': 85.9226644039154}",Man,
id101_2650.jpg,30.0,"{'Woman': 12.444496154785156, 'Man': 87.55550384521484}",Man,
id124_3286.jpg,,,,'tuple' object has no attribute 'shape'
id4_58.jpg,32.0,"{'Woman': 14.48756456375122, 'Man': 85.5124294757843}",Man,
id36_926.jpg,33.0,"{'Woman': 9.165332466363907, 'Man': 90.83467125892639}",Man,
id18_636.jpg,33.0,"{'Woman': 48.35597574710846, 'Man': 51.6440212726593}",Man,
id124_3315.jpg,36.0,"{'Woman': 21.894776821136475, 'Man': 78.10522317886353}",Man,
id105_2856.jpg,31.0,"{'Woman': 41.14373326301575, 'Man': 58.85626673698425}",Man,
id124_3257.jpg,,,,'tuple' object has no attribute 'shape'
id122_3222.jpg,,,,'tuple' object has no attribute 'shape'
id92_2397.jpg,35.0,"{'Woman': 17.19014197587967, 'Man': 82.80985951423645}",Man,
id126_3213.jpg,36.0,"{'Woman': 18.151672184467316, 'Man': 81.8483293056488}",Man,
id83_2234.jpg,30.0,"{'Woman': 5.96989318728447, 'Man': 94.03010606765747}",Man,
id31_745.jpg,33.0,"{'Woman': 6.352782249450684, 'Man': 93.64721775054932}",Man,
id55_1545.jpg,26.0,"{'Woman': 1.3185556046664715, 'Man': 98.68144989013672}",Man,
id30_451.jpg,29.0,"{'Woman': 4.803527146577835, 'Man': 95.1964795589447}",Man,
id69_1870.jpg,34.0,"{'Woman': 8.43159481883049, 'Man': 91.56840443611145}",Man,
id49_1323.jpg,30.0,"{'Woman': 4.1557710617780685, 'Man': 95.84422707557678}",Man,
id39_894.jpg,31.0,"{'Woman': 14.146839082241058, 'Man': 85.85315346717834}",Man,
id48_1180.jpg,36.0,"{'Woman': 3.519594296813011, 'Man': 96.48039937019348}",Man,
id65_1760.jpg,36.0,"{'Woman': 16.86248630285263, 'Man': 83.13751816749573}",Man,
id110_2709.jpg,39.0,"{'Woman': 80.51475286483765, 'Man': 19.485248625278473}",Woman,
